Instrument,SessionContext,TotalBars,Transition,Count
ES,ETH,700,Degrading->Unresolved,42
ES,ETH,700,Directional->Degrading,16
ES,ETH,700,Degrading->Degrading,60
ES,ETH,700,Unresolved->Balance,25
ES,ETH,700,Balance->Balance,17
ES,ETH,700,Balance->Unresolved,26
ES,ETH,700,Degrading->Directional,5
ES,ETH,700,Balance->Degrading,6
ES,ETH,700,Degrading->Balance,7
ES,ETH,750,Unknown->Unknown,4
ES,ETH,750,Unknown->Unresolved,1
ES,ETH,750,Unresolved->Unresolved,436
ES,ETH,750,Unresolved->Directional,16
ES,ETH,750,Directional->Directional,35
ES,ETH,750,Directional->Unresolved,5
ES,ETH,750,Unresolved->Degrading,37
ES,ETH,750,Degrading->Unresolved,47
ES,ETH,750,Directional->Degrading,16
ES,ETH,750,Degrading->Degrading,64
ES,ETH,750,Unresolved->Balance,26
ES,ETH,750,Balance->Balance,17
ES,ETH,750,Balance->Unresolved,27
ES,ETH,750,Degrading->Directional,5
ES,ETH,750,Balance->Degrading,6
ES,ETH,750,Degrading->Balance,7
ES,ETH,800,Unknown->Unknown,4
ES,ETH,800,Unknown->Unresolved,1
ES,ETH,800,Unresolved->Unresolved,482
ES,ETH,800,Unresolved->Directional,16
ES,ETH,800,Directional->Directional,35
ES,ETH,800,Directional->Unresolved,5
ES,ETH,800,Unresolved->Degrading,37
ES,ETH,800,Degrading->Unresolved,47
ES,ETH,800,Directional->Degrading,16
ES,ETH,800,Degrading->Degrading,64
ES,ETH,800,Unresolved->Balance,27
ES,ETH,800,Balance->Balance,19
ES,ETH,800,Balance->Unresolved,28
ES,ETH,800,Degrading->Directional,5
ES,ETH,800,Balance->Degrading,6
ES,ETH,800,Degrading->Balance,7
ES,ETH,850,Unknown->Unknown,4
ES,ETH,850,Unknown->Unresolved,1
ES,ETH,850,Unresolved->Unresolved,512
ES,ETH,850,Unresolved->Directional,16
ES,ETH,850,Directional->Directional,35
ES,ETH,850,Directional->Unresolved,5
ES,ETH,850,Unresolved->Degrading,40
ES,ETH,850,Degrading->Unresolved,50
ES,ETH,850,Directional->Degrading,16
ES,ETH,850,Degrading->Degrading,66
ES,ETH,850,Unresolved->Balance,29
ES,ETH,850,Balance->Balance,23
ES,ETH,850,Balance->Unresolved,30
ES,ETH,850,Degrading->Directional,5
ES,ETH,850,Balance->Degrading,8
ES,ETH,850,Degrading->Balance,9
ES,ETH,900,Unknown->Unknown,4
ES,ETH,900,Unknown->Unresolved,1
ES,ETH,900,Unresolved->Unresolved,539
ES,ETH,900,Unresolved->Directional,17
ES,ETH,900,Directional->Directional,35
ES,ETH,900,Directional->Unresolved,5
ES,ETH,900,Unresolved->Degrading,44
ES,ETH,900,Degrading->Unresolved,55
ES,ETH,900,Directional->Degrading,17
ES,ETH,900,Degrading->Degrading,69
