Instrument,SessionContext,TotalBars,Prefix,Quadruplet,Count,ConditionalProbability
ES,RTH,200,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Unresolved,5,71.43
ES,RTH,200,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Unresolved,5,83.33
ES,RTH,200,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Unresolved,5,83.33
ES,RTH,200,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Degrading,2,2.00
ES,RTH,200,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Directional,1,33.33
ES,RTH,200,Unresolved->Degrading->Directional,Unresolved->Degrading->Directional->Degrading,1,100.00
ES,RTH,200,Degrading->Directional->Degrading,Degrading->Directional->Degrading->Unresolved,1,100.00
ES,RTH,200,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,200,Degrading->Unresolved->Degrading,Degrading->Unresolved->Degrading->Unresolved,2,100.00
ES,RTH,200,Unresolved->Degrading->Unresolved,Unresolved->Degrading->Unresolved->Unresolved,3,100.00
ES,RTH,200,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Balance,5,5.00
ES,RTH,200,Directional->Degrading->Unresolved,Directional->Degrading->Unresolved->Directional,1,25.00
ES,RTH,200,Degrading->Unresolved->Directional,Degrading->Unresolved->Directional->Directional,1,100.00
ES,RTH,200,Directional->Directional->Degrading,Directional->Directional->Degrading->Degrading,1,25.00
ES,RTH,200,Directional->Degrading->Degrading,Directional->Degrading->Degrading->Degrading,1,100.00
ES,RTH,200,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Degrading,6,75.00
ES,RTH,200,Degrading->Degrading->Degrading,Degrading->Degrading->Degrading->Unresolved,2,25.00
ES,RTH,200,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Balance,1,25.00
ES,RTH,200,Degrading->Unresolved->Balance,Degrading->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,200,Unresolved->Balance->Unresolved,Unresolved->Balance->Unresolved->Balance,1,16.67
ES,RTH,200,Balance->Unresolved->Balance,Balance->Unresolved->Balance->Unresolved,1,100.00
ES,RTH,200,Unresolved->Unresolved->Balance,Unresolved->Unresolved->Balance->Balance,2,28.57
ES,RTH,200,Unresolved->Balance->Balance,Unresolved->Balance->Balance->Unresolved,2,100.00
ES,RTH,200,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Degrading,1,50.00
ES,RTH,200,Balance->Unresolved->Degrading,Balance->Unresolved->Degrading->Degrading,1,100.00
ES,RTH,200,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Degrading,1,50.00
ES,RTH,200,Degrading->Degrading->Unresolved,Degrading->Degrading->Unresolved->Degrading,1,25.00
ES,RTH,200,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Degrading,1,33.33
ES,RTH,200,Unresolved->Degrading->Degrading,Unresolved->Degrading->Degrading->Unresolved,1,50.00
ES,RTH,200,Degrading->Unresolved->Unresolved,Degrading->Unresolved->Unresolved->Degrading,1,14.29
ES,RTH,200,Unresolved->Unresolved->Degrading,Unresolved->Unresolved->Degrading->Unresolved,1,33.33
ES,RTH,200,Balance->Balance->Unresolved,Balance->Balance->Unresolved->Unresolved,1,50.00
ES,RTH,200,Balance->Unresolved->Unresolved,Balance->Unresolved->Unresolved->Balance,1,16.67
ES,RTH,250,Unknown->Unknown->Unknown,Unknown->Unknown->Unknown->Unresolved,2,100.00
ES,RTH,250,Unknown->Unknown->Unresolved,Unknown->Unknown->Unresolved->Unresolved,2,100.00
ES,RTH,250,Unknown->Unresolved->Unresolved,Unknown->Unresolved->Unresolved->Unresolved,2,100.00
ES,RTH,250,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,133,91.72
ES,RTH,250,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Unknown,1,0.69
ES,RTH,250,Unresolved->Unresolved->Unknown,Unresolved->Unresolved->Unknown->Unknown,1,100.00
ES,RTH,250,Unresolved->Unknown->Unknown,Unresolved->Unknown->Unknown->Unknown,1,100.00
ES,RTH,250,Unresolved->Unresolved->Unresolved,Unresolved->Unresolved->Unresolved->Directional,4,2.76
ES,RTH,250,Unresolved->Unresolved->Directional,Unresolved->Unresolved->Directional->Directional,3,75.00
ES,RTH,250,Unresolved->Directional->Directional,Unresolved->Directional->Directional->Degrading,2,50.00
