file,src_bar,age,intent,reason,entry_close,now_close,delta
CLOutput0430.txt,1069,10,ExitShort,short_dead_signal_exit deg=5,93.95,95.25,1.3
CLOutput0430.txt,1075,5,ExitShort,short_dead_signal_exit deg=5,95.1,94.87,-0.23
CLOutput0430.txt,1070,10,EnterShort,enter_short_structured_persisted,94.09,94.87,0.78
CLOutput0430.txt,1075,10,ExitShort,short_dead_signal_exit deg=5,95.1,95.87,0.77
CLOutput0430.txt,1138,3,EnterLong,enter_long_valid,95.81,95.75,-0.06
CLOutput0430.txt,1138,5,EnterLong,enter_long_valid,95.81,95.67,-0.14
CLOutput0430.txt,1138,10,EnterLong,enter_long_valid,95.81,95.54,-0.27
CLOutput0430.txt,1147,3,ExitLong,long_ftt_failure_exit CNT id=55 dir=Up state=FttDetected P1=1134@95.15 P2=1140@96.08 P3=1143@95.44 FTT=1147@95.41 domLeg=1134-1140 pb=1141-1144 post=1146-1146 postP3Len=1 imbP2=0.84 imbP3=0.32,95.3,95.4,0.1
CLOutput0430.txt,1147,5,ExitLong,long_ftt_failure_exit CNT id=55 dir=Up state=FttDetected P1=1134@95.15 P2=1140@96.08 P3=1143@95.44 FTT=1147@95.41 domLeg=1134-1140 pb=1141-1144 post=1146-1146 postP3Len=1 imbP2=0.84 imbP3=0.32,95.3,95.61,0.31
CLOutput0430.txt,1147,10,ExitLong,long_ftt_failure_exit CNT id=55 dir=Up state=FttDetected P1=1134@95.15 P2=1140@96.08 P3=1143@95.44 FTT=1147@95.41 domLeg=1134-1140 pb=1141-1144 post=1146-1146 postP3Len=1 imbP2=0.84 imbP3=0.32,95.3,95.67,0.37
CLOutput0430.txt,1235,3,EnterLong,enter_long_valid,97.11,96.87,-0.24
CLOutput0430.txt,1235,5,EnterLong,enter_long_valid,97.11,95.71,-1.4
CLOutput0430.txt,1235,10,EnterLong,enter_long_valid,97.11,95.81,-1.3
CLOutput0430.txt,1243,3,ExitLong,long_decay_exit phase=ShortCandidate score=0.20 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,96.05,95.41,-0.64
CLOutput0430.txt,1243,5,ExitLong,long_decay_exit phase=ShortCandidate score=0.20 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,96.05,95.54,-0.51
CLOutput0430.txt,1243,10,ExitLong,long_decay_exit phase=ShortCandidate score=0.20 deg=7 exitTh=4 graceLimit=6 containerSupport=True earlySC=False,96.05,95.34,-0.71
CLOutput0430.txt,1260,3,EnterShort,enter_short_structured_persisted,94.92,94.91,-0.01
CLOutput0430.txt,1260,5,EnterShort,enter_short_structured_persisted,94.92,94.77,-0.15
CLOutput0430.txt,1260,10,EnterShort,enter_short_structured_persisted,94.92,94.76,-0.16
CLOutput0430.txt,1269,3,ExitShort,short_ftt_failure_exit CNT id=60 dir=Down state=FttDetected P1=1254@95.50 P2=1258@94.41 P3=1259@94.92 FTT=1269@94.73 domLeg=1254-1258 pb=1259-1259 post=1264-1264 postP3Len=1 imbP2=0.00 imbP3=-1.00,95.01,94.91,-0.1
CLOutput0430.txt,1269,5,ExitShort,short_ftt_failure_exit CNT id=60 dir=Down state=FttDetected P1=1254@95.50 P2=1258@94.41 P3=1259@94.92 FTT=1269@94.73 domLeg=1254-1258 pb=1259-1259 post=1264-1264 postP3Len=1 imbP2=0.00 imbP3=-1.00,95.01,94.52,-0.49
CLOutput0430.txt,1272,3,EnterLong,enter_long_valid,94.91,94.0,-0.91
CLOutput0430.txt,1272,5,EnterLong,enter_long_valid,94.91,94.43,-0.48
CLOutput0430.txt,1269,10,ExitShort,short_ftt_failure_exit CNT id=60 dir=Down state=FttDetected P1=1254@95.50 P2=1258@94.41 P3=1259@94.92 FTT=1269@94.73 domLeg=1254-1258 pb=1259-1259 post=1264-1264 postP3Len=1 imbP2=0.00 imbP3=-1.00,95.01,94.25,-0.76
CLOutput0430.txt,1272,10,EnterLong,enter_long_valid,94.91,94.67,-0.24
CLOutput0430.txt,1280,3,ExitLong,long_ftt_failure_exit CNT id=62 dir=Up state=FttDetected P1=1275@93.84 P2=1276@94.47 P3=1277@94.17 FTT=1280@94.47 domLeg=1275-1276 pb=1277-1278 post=1279-1279 postP3Len=1 imbP2=0.00 imbP3=0.36,94.32,95.02,0.7
CLOutput0430.txt,1280,5,ExitLong,long_ftt_failure_exit CNT id=62 dir=Up state=FttDetected P1=1275@93.84 P2=1276@94.47 P3=1277@94.17 FTT=1280@94.47 domLeg=1275-1276 pb=1277-1278 post=1279-1279 postP3Len=1 imbP2=0.00 imbP3=0.36,94.32,94.52,0.2
CLOutput0430.txt,1280,10,ExitLong,long_ftt_failure_exit CNT id=62 dir=Up state=FttDetected P1=1275@93.84 P2=1276@94.47 P3=1277@94.17 FTT=1280@94.47 domLeg=1275-1276 pb=1277-1278 post=1279-1279 postP3Len=1 imbP2=0.00 imbP3=0.36,94.32,95.21,0.89
CLOutput0430.txt,1334,3,EnterShort,enter_short_structured_persisted,94.93,95.19,0.26
CLOutput0430.txt,1334,5,EnterShort,enter_short_structured_persisted,94.93,95.1,0.17
CLOutput0430.txt,1340,3,ExitShort,short_dead_signal_exit deg=5,95.42,94.82,-0.6
CLOutput0430.txt,1341,3,EnterShort,enter_short_structured_persisted,95.25,95.11,-0.14
CLOutput0430.txt,1334,10,EnterShort,enter_short_structured_persisted,94.93,95.11,0.18
CLOutput0430.txt,1340,5,ExitShort,short_dead_signal_exit deg=5,95.42,94.84,-0.58
CLOutput0430.txt,1341,5,EnterShort,enter_short_structured_persisted,95.25,94.48,-0.77
CLOutput0430.txt,1340,10,ExitShort,short_dead_signal_exit deg=5,95.42,93.04,-2.38
CLOutput0430.txt,1341,10,EnterShort,enter_short_structured_persisted,95.25,92.94,-2.31
CLOutput0430.txt,1351,3,ExitShort,short_dead_signal_exit deg=5,92.94,92.99,0.05
CLOutput0430.txt,1351,5,ExitShort,short_dead_signal_exit deg=5,92.94,92.98,0.04
CLOutput0430.txt,1351,10,ExitShort,short_dead_signal_exit deg=5,92.94,92.71,-0.23
CLOutput0430.txt,1380,3,EnterLong,enter_long_valid,101.52,101.0,-0.52
CLOutput0430.txt,1380,5,EnterLong,enter_long_valid,101.52,101.54,0.02
CLOutput0430.txt,1385,3,ExitLong,long_ftt_failure_exit CNT id=65 dir=Up state=FttDetected P1=1378@92.35 P2=1381@102.37 P3=1383@100.64 FTT=1385@101.67 domLeg=1378-1381 pb=1382-1383 post=1384-1384 postP3Len=1 imbP2=0.95 imbP3=0.86,101.54,101.21,-0.33
CLOutput0430.txt,1385,5,ExitLong,long_ftt_failure_exit CNT id=65 dir=Up state=FttDetected P1=1378@92.35 P2=1381@102.37 P3=1383@100.64 FTT=1385@101.67 domLeg=1378-1381 pb=1382-1383 post=1384-1384 postP3Len=1 imbP2=0.95 imbP3=0.86,101.54,101.48,-0.06
CLOutput0430.txt,1380,10,EnterLong,enter_long_valid,101.52,101.48,-0.04
CLOutput0430.txt,1385,10,ExitLong,long_ftt_failure_exit CNT id=65 dir=Up state=FttDetected P1=1378@92.35 P2=1381@102.37 P3=1383@100.64 FTT=1385@101.67 domLeg=1378-1381 pb=1382-1383 post=1384-1384 postP3Len=1 imbP2=0.95 imbP3=0.86,101.54,101.92,0.38
CLOutput0430.txt,1692,3,EnterLong,enter_long_valid,93.67,93.81,0.14
CLOutput0430.txt,1692,5,EnterLong,enter_long_valid,93.67,93.8,0.13
CLOutput0430.txt,1696,3,ExitLong,long_decay_exit phase=LongCandidate score=0.83 deg=4 exitTh=4 graceLimit=6 containerSupport=False earlySC=False,93.91,93.94,0.03
